ID_rapport;ID_gaz;ID_capteur;Emissions_ppm
73;6;203;534.9794431482176
74;7;12;854.8355541522509
75;10;181;737.3200268117954
76;3;196;461.8881493930935
77;2;214;484.9409875366095
78;9;108;713.5105470541771
79;8;111;477.8425484284757
80;10;141;291.05892521725605
81;7;189;930.2097916084044
82;4;161;574.8770167404533
83;2;25;311.98592113997523
84;4;110;524.3365330111753
85;10;74;474.8640338018255
86;6;144;436.39291462819125
87;5;176;680.7699371943716
88;1;5;332.846495661027
89;1;139;431.35457078592856
90;11;211;781.2013784999386
91;8;88;136.767482877649
92;8;140;339.57134279688563
93;3;71;947.9460916465628
94;2;79;755.6468984301017
95;4;97;673.7122778557177
96;2;196;82.18227193088873
97;8;99;279.78924962837146
98;9;69;503.55622225205536
99;4;31;443.50247482842707
100;9;16;168.94420709079034
101;8;140;71.08637647750155
102;1;74;172.69090870287982
103;5;125;270.8010520857616
104;1;193;305.7761193971777
105;6;6;597.3688639174035
106;11;186;402.1756545449705
107;10;155;665.3501878767266
108;2;129;650.7188318695935
109;8;37;173.1314530241451
110;7;78;660.4004458223726
111;9;159;907.5539967344462
112;9;49;148.5064500107895
113;1;206;338.8388535493545
114;8;116;706.6445034390282
115;11;179;585.939994187087
116;5;86;155.71708417002594
117;6;141;182.47666383363457
118;11;209;751.0576462039743
119;2;21;388.94085242119587
120;8;69;453.0239842061781
121;8;16;587.6964562748315
122;4;163;895.7712026635361
123;7;6;970.385687765682
124;1;40;916.5743373711289
125;5;124;963.0473674381172
126;2;126;144.69301624406256
127;6;191;934.8295026902016
128;3;9;344.8753561453906
129;4;22;770.9177725733762
130;8;109;355.1403860964226
131;1;111;753.2846218540316
132;7;76;795.4083687598068
133;5;56;89.81620688183583
134;8;138;483.94633739568104
135;2;38;964.6676697883529
136;5;207;80.18152561566389
137;2;146;99.24155025973239
138;5;215;72.79675818787376
139;2;43;607.3423818399033
140;1;168;358.6526472768876
141;9;127;313.38110645252686
142;10;211;678.7923832905884
143;4;34;293.8665250930573
144;1;56;477.14275028081175
145;4;23;891.6111346573838
146;1;130;528.0391805936497
147;1;177;339.97157343747347
148;11;203;551.4485146976356
149;2;172;788.43032946935
150;3;172;842.4570938817196
151;5;214;544.6078249764947
152;3;8;265.2838093093428
153;11;149;844.3665740446536
154;7;133;385.4880777818759
155;10;130;249.06599811960626
156;7;4;534.7237456537392
157;4;149;634.404454781065
158;4;39;14.457912658805467
159;8;129;302.3425282705292
160;11;103;271.5528855260361
161;6;22;801.3830897631705
162;2;101;259.23951429302116
163;10;193;759.6550319894511
164;7;18;224.43371096798197
165;7;80;348.7329042306766
166;7;91;66.34381283390282
167;4;31;333.0663255712007
168;6;203;832.5182956689251
169;9;30;937.8938787932709
170;5;11;37.720596472983736
171;5;121;695.7528003084625
172;4;101;594.4605347697313
173;10;186;151.7641239098852
174;10;4;654.9140228162262
175;7;137;458.57293705152205
176;8;27;646.8981012991948
177;4;138;469.4238050507524
178;9;16;272.52477423452984
179;3;144;713.2791378407805
180;6;14;443.57817341819947
181;2;204;831.8136022862692
182;9;40;858.5226966867822
183;2;64;357.0335401382239
184;1;131;358.94645370362997
185;10;89;421.31041764723636
186;6;66;309.5999036341711
187;10;126;920.841817324068
188;3;178;294.839249279822
189;1;194;139.851123598382
190;9;89;845.4880219029292
191;9;84;725.4955375095614
192;3;195;279.63466615451307
193;6;147;546.5115224105541
194;3;61;407.9979351480531
195;1;21;798.4104612908545
196;10;93;972.9319262525823
197;8;177;300.0755540466375
198;9;187;865.3482618789791
199;4;154;575.6855128252924
200;8;31;157.73198633540326
201;8;153;994.5497419566061
202;9;73;844.0154678910802
203;4;171;45.44747868690256
204;4;212;35.152392264102296
205;10;149;616.705321349531
206;8;46;593.0247992106523
207;1;99;977.9916546366437
208;1;103;663.1515826332387
209;4;172;683.6408831826404
210;3;16;161.68958523229054
211;1;66;332.19843392756184
212;10;87;148.21670364459578
213;10;109;282.3672527615064
214;10;25;768.6418289252991
215;7;213;951.2393940744025
216;8;210;419.2237502285267
217;6;128;50.589397173605455
218;7;76;222.0350002742227
219;3;113;985.3414509076687
220;1;108;698.2943082662309
221;5;99;777.6176598191284
222;6;40;288.0544988198236
223;4;87;322.3336451144464
224;4;192;355.718454923568
225;1;116;333.7272634318218
226;5;52;916.000559347565
227;6;156;319.3384962111332
228;1;121;607.8789999878378
229;6;143;857.7417876977976
230;9;93;936.9130092805467
231;1;84;571.7943863317215
232;10;211;678.43853411226
233;6;94;949.8501187249019
234;1;138;49.67713581712204
235;9;81;902.8786451805266
236;10;130;458.321348352573
237;8;116;413.3091149352729
238;11;73;305.97630237944816
239;2;22;266.8270860312668
240;9;185;897.7425046022137
241;4;192;273.13076356142295
242;8;166;749.8335003990472
243;4;131;572.8798018995288
244;2;161;817.3368707483513
245;11;27;712.1501014493265
246;8;78;331.7375246301369
247;2;175;23.966717832776258
248;7;67;999.2600198842737
249;3;52;542.6962651888969
250;2;36;237.72420743128663
251;2;147;765.7097701002579
252;5;142;134.86554229721244
253;2;61;163.4180225955332
254;2;7;302.5438911345377
255;1;85;17.814077414480792
256;5;179;410.8367713544666
257;7;59;615.1251525657364
258;4;195;541.9737965813013
259;2;52;878.8081524223375
260;6;198;983.5893528343724
261;9;101;523.8480720379832
262;7;101;866.5615015331464
263;1;6;673.3964896418338
264;11;82;566.3652772559019
265;4;73;140.3958909153242
266;6;69;772.6918004177378
267;4;166;637.8883222924953
268;8;118;751.8959889793019
269;5;161;438.46189220134335
270;2;178;618.9223548337242
271;8;137;258.79815952607595
272;2;114;103.26696565872246
273;4;4;121.63645707398766
274;5;95;605.338100089115
275;1;91;452.2019696135111
276;2;213;675.6354430216435
277;2;171;822.0313156311036
278;1;147;645.3155291913602
279;9;212;574.183280797638
280;3;95;120.13762645814488
281;3;89;797.3195313542277
282;7;161;231.12122807707775
283;7;127;631.2448519241408
284;8;151;889.790703032644
285;3;77;138.9488131667356
286;8;2;379.51788219988396
287;11;189;809.4893957634262
288;6;208;706.3347649755979
289;8;27;163.7876825877868
290;11;23;399.11007866044906
291;8;106;184.98228596694537
292;10;159;892.959131048833
293;5;151;622.7367408977952
294;5;170;54.486634306269394
295;1;129;832.3457680460225
296;3;190;803.1594447267929
297;8;73;370.08726959659333
298;8;194;63.27628578976545
299;5;78;626.9485869670547
300;10;86;791.9800228921418
301;1;33;12.592947221180486
302;9;152;144.00624176712162
303;9;90;738.4649142614924
304;10;98;414.5419559573369
305;3;130;932.1414647345592
306;9;111;365.3905322890049
307;8;31;360.1519956353862
308;8;51;858.2505900227043
309;1;91;813.0664251046361
310;8;207;211.7099485073586
311;4;121;701.1666917379602
312;2;85;648.1696818198038
313;5;137;954.1195870093253
314;3;21;898.3283164706683
315;1;200;105.4838511093788
316;2;124;128.0128291716984
317;6;26;861.3774405982097
318;5;116;112.12298105770249
319;2;22;664.224357470952
320;5;71;649.2078846241484
321;9;80;410.20727488693615
322;11;22;265.4836632266275
323;4;159;944.7301765175744
324;9;12;215.03841437854499
325;2;205;590.3250154179924
326;9;122;36.772112239621805
327;2;109;686.3636275153044
328;5;32;307.5886722626216
329;5;43;12.230432585829028
330;5;126;882.2016427985092
331;9;22;607.9362497146782
332;2;81;532.1672987534348
333;9;153;672.4343001274601
334;7;1;230.92046834547207
335;9;11;353.0932793677054
336;9;123;223.2600979379368
337;7;201;941.1417893295586
338;8;174;830.0008552323668
339;3;161;592.02047072978
340;4;179;116.94218502765607
341;11;23;831.854093988391
342;3;61;511.1258464027925
343;4;131;38.63812224016093
344;7;198;945.9942238840775
345;11;11;434.80727076249457
346;6;203;23.53664571404301
347;10;87;194.39223952225433
348;9;115;825.4103806490876
349;5;16;535.8764472110591
350;2;44;453.9916106210636
351;4;149;431.8759136917211
352;1;22;820.3741781892163
353;7;89;479.87029090606575
354;3;182;920.3843482164501
355;5;46;335.60751303293694
356;5;141;934.3990852965035
357;7;152;344.18657102418365
358;6;180;978.3565766624295
359;2;202;16.962154549816464
360;2;122;281.4046640325619
361;10;114;228.87130999640732
362;6;87;435.95182497790665
363;11;162;528.1959833419471
364;3;190;256.86384176581504
365;6;19;976.3397239871176
366;7;107;5.485699002500417
367;3;125;922.8023468428156
368;6;95;919.6449964513747
369;2;64;917.400198966652
370;1;163;430.1744731785452
371;6;162;920.7415295679821
372;1;2;9.442651912428229
373;4;157;54.4568912286444
374;7;35;321.9096371876249
375;3;155;775.5366252749945
376;4;72;176.62132472310037
377;4;5;718.1169762395431
378;6;85;572.2755990366308
379;4;118;825.1432225448268
380;9;94;544.9887154856963
381;6;152;114.93102287436503
382;11;175;466.9851158725541
383;9;16;773.8098110533145
384;4;177;545.1054653616487
385;4;83;547.9254185717583
386;10;11;207.89843697291082
387;4;202;435.7043952133815
388;10;110;767.6309287053155
389;3;176;994.3624022713404
390;6;128;479.3872965141528
391;3;123;323.4965896376334
392;8;205;683.9809772504764
393;1;202;148.90150215478624
394;1;196;494.0335824140718
395;9;192;666.1155340449382
396;9;182;975.0024921819909
397;5;71;859.731721676571
398;9;147;369.86954951089115
399;10;81;870.8246931420564
400;9;96;940.7518742074664
401;5;4;78.54434151198289
402;10;5;215.7875528879933
403;10;166;933.1872963517823
404;4;139;245.3664871217489
405;11;193;767.4894936447114
406;5;213;297.9761913370035
407;10;116;258.2335235383378
408;7;162;618.5940184226655
409;11;120;197.28574594327156
410;9;186;513.1128383901821
411;4;135;485.6446275220122
412;10;145;604.5839750401034
413;3;138;72.39408421831635
414;10;96;674.2825125282704
415;8;117;764.015651443705
416;7;134;693.5653002604241
417;11;61;853.5919963041325
418;1;145;97.52814071351767
419;2;70;450.69162458359244
420;3;175;449.34962737503946
421;10;15;149.59345207597616
422;10;15;777.5619232328391
423;7;117;941.4254127974709
424;7;1;944.7660969713888
425;5;173;920.501928043165
426;1;47;671.6337706569591
427;9;187;517.4676857575204
428;11;156;526.3498754031516
429;9;156;657.8299437299701
430;4;31;886.0389022874432
431;9;46;907.572954366831
432;10;12;156.71069982287494
433;7;29;266.0023373859173
434;4;7;952.7897791388842
435;9;188;322.79145186052006
436;1;107;588.0335596826985
437;6;192;165.3063378150958
438;3;56;130.40599698062167
439;9;202;16.394220953113606
440;5;211;294.56222889932826
441;8;93;706.3618354519772
442;11;120;292.0584189503302
443;7;39;468.85799204988786
444;2;56;357.05428555405365
445;8;173;575.7912750363705
446;7;83;133.97894688746814
447;11;77;804.0911973823343
448;10;46;205.46028157664938
449;2;186;916.5731146988502
450;7;166;288.5969030551266
451;7;69;334.8843457310244
452;2;108;266.51792985721465
453;11;136;257.6498554205226
454;3;104;313.3225909959436
455;11;157;78.09439707188734
456;5;36;667.0646626929827
457;4;26;305.475107039413
458;3;168;173.93711239648547
459;8;189;185.29263049418225
460;9;82;754.4720887802323
461;8;21;491.39906039854645
462;2;20;679.3435118874
463;10;135;987.5868986163453
464;11;65;260.49716911865784
465;6;173;95.58051095064862
466;6;106;990.03931808849
467;4;154;349.18057515495866
468;6;79;75.40532295596314
469;10;103;487.792085998335
470;6;40;835.668300899114
471;1;1;694.0392288229798
472;7;194;404.05879126199034
473;10;40;529.1845155408625
474;10;140;330.1461891753966
475;6;36;461.1396203417455
476;7;70;333.73012989663556
477;6;10;565.4872213893559
478;6;82;997.3638097588807
479;10;84;252.11864605525898
480;3;62;751.0328088112612
481;1;63;405.2215802571823
482;8;169;534.128482069336
483;11;46;929.442879824354
484;8;67;147.20450504178996
485;9;199;103.76149979305579
486;6;152;908.2425678177493
487;5;140;822.6627843544072
488;10;133;333.23625088099936
489;4;122;330.9812028193072
490;4;129;85.79169791638385
491;3;56;974.1902536096451
492;4;14;798.0814851048963
493;11;67;200.78341230178958
494;3;166;442.7691046777379
495;2;121;926.517336925667
496;6;11;703.3379735292775
497;3;117;660.9722496949416
498;3;111;960.9934767838862
499;8;70;650.4220360735291
500;7;142;849.1781398932308
501;7;138;969.6236503117597
502;8;9;625.8548329342058
503;7;159;596.2709273462413
504;8;60;341.28746422220894
505;4;195;691.6712307548746
506;11;88;166.32475137779102
507;5;133;725.6264076509411
508;6;18;333.25170269347007
509;7;144;814.2501563518601
510;11;4;174.73207695440846
511;3;65;632.2544318871877
512;2;159;661.3318404499768
513;5;81;648.3763054410841
514;9;90;779.4677558523479
515;8;172;198.71619022992166
516;8;94;372.24146849854725
517;8;45;965.3586064226824
518;11;131;944.1516547006015
519;10;102;335.07148456516256
520;11;47;709.8040537336148
521;2;202;496.21020264730174
522;8;108;400.9801265463706
523;4;156;909.1407239495136
524;4;40;403.15035598365614
525;7;52;356.67906134008877
526;2;187;308.40732093608005
527;3;134;265.6200048219683
528;10;13;987.5599306438701
529;7;5;981.0110713723427
530;10;100;413.5674395623208
531;6;185;737.9537723009679
532;3;140;296.0182398656581
533;9;80;475.1471079098664
534;5;116;153.74166963831934
535;1;99;491.9802889921819
536;2;94;435.6600212392475
537;5;38;582.3193949957288
538;8;83;629.9538354274143
539;7;214;406.7369293721289
540;6;77;900.2900194038201
541;9;95;253.7368562678221
542;8;140;272.67073731997647
543;11;98;362.51775351785926
544;10;200;212.01653019017616
545;7;95;971.0110293528892
546;2;42;664.1545156413816
547;4;100;23.87428748543478
548;10;59;675.1910456968429
549;7;208;994.4166517137311
550;10;59;715.1962090809761
551;6;156;25.163280507503565
552;3;9;313.4291910183449
553;9;167;180.8646142305871
554;6;97;979.7907090781197
555;9;17;105.51265821016072
556;2;102;900.460337085047
557;2;175;963.6190370170272
558;6;120;848.3630622643943
559;3;102;18.341977133410683
560;4;89;271.4047739392707
561;11;69;204.99814554329114
562;10;59;149.09844254214605
563;8;78;285.5912752421854
564;2;30;249.56601134413603
565;5;50;830.9798660460283
566;8;51;304.7895498908416
567;4;5;199.51401345779453
568;6;40;116.06444064406706
569;5;165;409.00309244384465
570;3;34;552.0315991848395
571;6;80;136.48806025905427
572;5;199;548.2083064050846
573;6;9;496.617162259631
574;9;93;487.23642042620514
575;9;92;943.3119162889599
576;6;44;848.6114239958547
577;2;69;370.3055078814253
578;10;122;872.9676616970672
579;10;189;132.66440073472927
580;6;4;859.5949326309719
581;2;100;472.509329054886
582;7;51;410.60762524966333
583;9;194;867.0194364828357
584;4;187;446.7146454148678
585;4;169;864.3533742300967
586;6;64;28.2639944401742
587;6;59;120.09312792356685
588;4;185;139.3389228047408
589;1;172;21.962538166504935
590;10;54;271.1680450160169
591;9;17;530.4107360507475
592;11;215;84.94217309575149
593;5;117;8.292891107180502
594;6;34;780.5327822349526
595;2;4;462.0567514418458
596;4;117;334.7754356711162
597;5;167;313.0706004803441
598;4;176;295.7715781657496
599;5;179;213.5326181224332
600;4;7;139.20392046173043
601;9;200;225.81808016912913
602;1;60;195.0986563217467
603;2;134;199.14722411752047
604;2;30;638.4743656611935
605;2;82;698.3481226780586
606;2;204;307.65110453669644
607;11;5;622.6298806483272
608;7;187;529.2252959643099
609;10;67;357.9493226512925
610;4;2;978.0114622282009
611;10;185;762.3788173598381
612;8;111;639.2269800512958
613;9;24;536.1124458501081
614;10;209;67.63337107158857
615;7;154;702.9482145785786
616;8;11;656.965785036383
617;6;143;480.9216140366191
618;8;41;794.8367398168115
619;8;72;221.47451444923078
620;5;187;242.44908751007245
621;8;157;807.07456942288
622;3;28;841.0253982873223
623;4;54;287.4040919628937
624;4;98;850.2922006272398
625;10;122;260.02939145345186
626;3;68;931.3315487656627
627;11;127;546.1883395040226
628;1;145;916.3119603970083
629;4;45;681.6007994965596
630;11;19;829.3223838104877
631;5;189;46.956975419611624
632;11;158;556.0600712015103
633;3;121;585.8858762848627
634;9;177;74.2227259307784
635;11;91;473.8723557189678
636;3;53;36.203389735108125
637;7;65;701.8647948823309
638;10;171;9.51079167548442
639;6;83;539.0717708592082
640;11;50;206.763508888792
641;1;139;948.404353878661
642;1;166;871.0736127424043
643;5;118;316.1626796946601
644;6;198;454.36799616676103
645;7;112;549.0107852695272
646;6;54;74.39017575067652
647;2;26;348.64915249805904
648;11;187;412.3641464709624
649;6;119;282.5440444603237
650;11;147;187.55390313405928
651;1;46;292.9448225230705
652;3;30;150.22056085329154
653;10;72;449.1843763517559
654;8;6;221.08136774428937
655;5;198;608.853529024897
656;11;162;265.06858219665304
657;11;63;742.6495128212299
658;3;126;757.733607755743
659;10;169;673.0734815431691
660;9;46;864.7610365240498
661;9;106;545.5904880014389
662;3;44;759.6029218399841
663;6;112;886.7709796324253
664;5;12;289.99902363311054
665;4;180;253.76021490548254
666;1;26;968.4791675995552
667;7;27;439.09132364014545
668;2;188;430.71735060070995
669;9;89;859.8653907739779
670;9;151;130.4135635583073
671;5;15;438.77333345871057
672;9;139;536.751305792816
673;5;104;232.17849399400302
674;7;182;660.8593705756025
675;10;125;792.2039226263297
676;8;94;601.2449607337348
677;4;35;389.0855810949601
678;10;103;437.22511823050417
679;4;157;397.32495508268323
680;4;8;645.4172848841065
681;5;155;230.47327367570537
682;10;194;556.5666053979694
683;3;153;742.5848642467809
684;1;40;830.1159553301445
685;8;152;865.8504272330341
686;1;186;347.8186288816719
687;1;38;661.7549318387217
688;9;61;963.7067536660072
689;5;88;403.2473807367132
690;4;27;725.9964454936961
691;5;168;610.2052569463334
692;7;21;376.4083998964524
693;10;30;768.7710273892855
694;11;76;94.48465594638196
695;2;169;290.4696976318785
696;8;56;699.4414660918088
697;4;103;908.5968007044459
698;8;194;186.4262111285108
699;4;165;541.2842529703707
700;4;166;883.0733225139165
701;1;122;11.893053261461358
702;7;100;331.5006169871028
703;8;124;686.4515930980017
704;11;50;218.9305705883671
705;11;26;928.6759917043587
706;5;196;65.00602066656367
707;6;21;877.7676945356826
708;5;215;34.18781211599958
709;4;27;955.4241828550623
710;6;29;586.1905501627567
711;7;32;857.5414020784532
712;7;112;589.4681375709607
713;3;119;114.03756894847044
714;8;60;209.18794165687518
715;3;196;795.6245229397038
716;11;18;800.6105989194651
717;1;14;305.0497941518452
718;5;77;231.65816089063847
719;1;14;933.6131290569358
720;9;153;29.828789786156214
721;10;118;518.2501967106609
722;6;48;583.6355468344382
723;11;3;998.5374720885178
724;9;81;377.36705556281794
725;2;200;320.97012341468854
726;6;114;306.7141075922218
727;11;30;528.5658591935385
728;7;106;838.7782501995482
729;7;49;699.0630946521535
730;1;178;604.4732192256058
731;1;198;488.51947676339455
732;4;139;370.76552909298704
733;6;63;609.5324072167521
734;1;17;6.074471146818857
735;2;73;898.1139757555181
736;4;16;514.0802186745517
737;11;32;829.9329273590757
738;7;19;604.9584636937561
739;3;100;47.138989156431784
740;4;142;9.44248054788329
741;10;144;128.6022106652558
742;6;57;505.5675648429712
743;8;153;561.0110778415491
744;8;141;981.9700784012612
745;5;109;53.35196606790609
746;3;104;239.27904411045554
747;5;135;313.76210098311327
748;10;104;836.7960429484233
749;7;85;849.8547769374428
750;4;123;167.30458469708879
751;7;48;1.3387180034764312
752;7;67;713.6461584856531
753;2;155;19.114311900077865
754;7;104;676.2284323433983
755;2;4;641.202480237488
756;5;170;559.7316336809525
757;4;177;275.810953444878
758;10;185;43.647386058899514
759;8;114;847.0909380531066
760;4;14;233.6880119061955
761;4;195;885.6422257408994
762;9;31;319.03010593730835
763;2;132;934.4730053785687
764;7;140;923.5638381873259
765;3;196;757.4351710006089
766;4;161;555.0790802860505
767;3;212;952.1349069793239
768;11;61;904.8317068319582
769;5;48;524.3427258177776
770;9;51;539.2166350585618
771;8;79;425.30749391550825
772;1;145;346.13768612456767
773;3;135;206.2987276004346
774;3;203;558.7599152918568
775;10;200;869.7835620324995
776;7;97;215.46357541515758
777;9;76;283.51140542470637
778;4;63;285.1575850813255
779;5;4;76.96693868812669
780;10;123;52.7877518844534
781;11;85;511.67923269611356
782;4;173;251.73518590145915
783;2;72;634.8451842858899
784;11;134;152.5732127956254
785;9;133;106.05391074660182
786;8;21;638.1358743908817
787;3;67;156.40345302557014
788;8;80;385.8634159962051
789;9;86;855.79833442093
790;5;48;229.07372115115362
791;8;59;485.45139504219003
792;11;177;206.4893562024665
793;5;23;857.0133621692493
794;8;52;7.369844988039735
795;8;54;106.84099358557158
796;8;196;347.8759903482577
797;5;64;435.5842995628808
798;6;170;964.7760760772186
799;9;91;101.52687813353657
800;7;81;953.9194723990091
801;10;188;781.4651698653693
802;4;199;284.05969824062856
803;1;59;686.5360869896459
804;3;188;6.562715648784969
805;7;98;988.9308129360285
806;9;53;213.65506755838157
807;5;80;177.51050913629595
808;2;187;482.1185475514657
809;1;138;54.591848950476695
810;9;159;264.93211390243573
811;3;116;842.5434269819093
812;10;170;357.2975204933882
813;5;20;308.5799812870347
814;6;79;291.5796659454498
815;9;149;481.1361180120409
816;11;192;916.1876121050133
817;11;96;306.10170503261696
818;5;134;316.81295653006487
819;4;11;489.88587663170296
820;3;14;828.6209789744478
821;11;158;3.656950152147318
822;6;65;117.4809012701622
823;7;198;375.21319524391174
824;4;151;334.9457384439495
825;3;107;479.2027140906091
826;1;175;772.7281116758844
827;3;48;375.4667819417431
828;5;93;995.5646986866886
829;5;23;872.2280629280283
830;6;90;747.0507164123222
831;7;155;847.4419285065176
832;9;71;666.3692710565227
833;5;50;730.6239294317894
834;9;23;988.9009101374332
835;9;27;622.4908811998137
836;11;152;161.32228076232076
837;3;50;845.5513346381015
838;8;138;488.1951270650731
839;9;17;838.7233675705048
840;3;101;426.14781428202645
841;6;177;75.1331309151822
842;9;3;403.9214962720702
843;9;151;784.4444418729045
844;4;128;722.1237437568155
845;8;169;652.4034767143108
846;1;156;365.43485833503865
847;10;147;5.722928191851932
848;1;211;15.50780745790926
849;1;177;128.56949136353816
850;2;83;621.0821270147635
851;11;26;707.7192740479709
852;2;51;316.30092473043806
853;5;38;184.67423913944154
854;1;187;485.3325343153096
855;7;127;37.84377963699106
856;4;147;328.31768888253
857;1;157;420.8760503737657
858;7;22;512.4382546607733
859;10;196;473.9513438463917
860;7;158;144.13031020035484
861;1;200;285.37027515343135
862;5;180;297.38764135274596
863;7;179;628.7583491715353
864;6;23;617.4402908213382
865;7;119;662.3920997680577
866;7;115;148.1500814712554
867;8;147;744.8727481505338
868;5;4;42.50634563849623
869;9;92;55.58476820453966
870;8;213;721.6572212399414
871;5;164;534.6190374452087
872;2;184;197.16901587581094
873;10;207;345.41361673151323
874;5;131;714.4143803617256
875;3;125;58.53221067150726
876;7;102;518.8389400643284
877;11;72;251.25292221651742
878;7;88;73.11943374073057
879;2;176;385.00381419737795
880;9;182;442.1599864463853
881;2;171;20.60705268885
882;10;79;398.78834707182904
883;2;157;584.9242047269198
884;11;126;298.1339825393477
885;3;95;282.4323194905283
886;3;50;83.64172529981394
887;5;70;113.32622781410974
888;4;125;284.54502094654407
889;1;53;286.5942211283323
890;7;8;23.500574416525335
891;11;129;574.7282437596983
892;9;8;17.673447386310478
893;7;64;26.57915617220749
894;10;120;834.5570367997183
895;2;5;186.11695172393954
896;4;9;22.463082409053424
897;4;38;374.6940361209691
898;2;179;570.7662737783439
899;5;134;574.6849577783676
900;1;136;698.0551125156933
901;6;160;754.4369816254933
902;8;55;915.8710354852838
903;2;20;378.7401738000813
904;3;58;965.9786851950438
905;8;112;828.5176717796492
906;1;84;192.72459724487814
907;9;161;264.8657972174646
908;5;195;250.5026180595302
909;1;173;336.69987120493755
910;1;71;662.1402397241903
911;11;5;600.6437699742389
912;6;2;916.2377556485028
913;5;30;136.8494304304311
914;10;102;554.8420909688174
915;3;60;263.2766268002038
916;10;86;942.2604486935292
917;1;193;653.40504986401
918;3;107;458.5356183073148
919;10;140;608.5672990516663
920;3;88;3.7702739270055883
921;3;79;44.79003686156645
922;2;169;494.2750900805388
923;9;93;376.90339202060215
924;8;183;802.0277148855264
925;1;201;975.3246618350514
926;4;147;76.92830391681345
927;8;198;499.21268437454177
928;11;98;918.9051541760614
929;3;137;198.19965162043565
930;6;167;791.450217892071
931;10;29;1000.9797203847344
932;6;112;599.232555281795
933;11;59;577.3755821545383
934;3;37;461.33188920997577
935;5;210;430.4532264973936
936;10;197;84.14089958480942
937;4;211;961.9490357109236
938;1;122;237.7173122491031
939;5;103;506.75972903361054
940;11;149;96.32781349097783
941;11;187;544.9090975089697
942;2;94;527.4252031511307
943;8;210;673.5934597718743
944;9;87;653.2575227499538
945;11;185;707.6708346693962
946;1;129;546.8456401277865
947;8;52;857.9767672720261
948;1;135;789.6992212069957
949;3;166;287.47639451344804
950;1;192;867.7360180308417
951;3;201;425.94069658401645
952;9;15;989.0663839325883
953;8;79;101.41591318076019
954;7;35;532.9883484593621
955;2;193;35.69803134062346
956;3;184;622.8495136427563
957;5;46;690.6204943543925
958;9;103;293.1156120292513
959;4;30;670.8253453143242
960;8;32;799.0734824619763
961;10;32;648.4966637225623
962;4;157;87.04610047678297
963;8;193;908.9637758326479
964;2;214;389.9051577551362
965;7;19;775.613005103
966;10;155;802.3433335432027
967;1;149;506.75712992311145
968;3;101;245.08803859161264
969;7;187;736.2521567173087
970;4;6;777.1302184524782
971;6;25;972.8323541425208
972;1;197;293.48757992760727
973;3;172;522.2107810919172
974;4;58;500.8134832330343
975;10;190;758.793623346639
976;7;63;107.3648030712934
977;3;90;996.9903571248586
978;6;190;591.9966717467737
979;5;213;785.4289210006455
980;4;6;868.4395287817878
981;3;68;107.34676392643617
982;1;215;884.8056625595884
983;9;24;816.3933345188318
984;3;2;383.622153822057
985;3;25;753.4197830909774
986;7;143;411.6816003926317
987;11;200;738.965922940522
988;11;74;454.78018800860565
989;2;8;299.23461210989194
990;8;176;878.6377060013688
991;7;139;553.6430842269574
992;6;133;582.1557966173087
993;8;190;71.37717357604747
994;2;32;836.5738775929897
995;8;135;455.92084111667265
996;5;102;540.9994293982901
997;11;176;422.14896267714505
998;8;202;657.7332580925537
999;4;128;993.5585729545952
